species,folder_count,folders,image_count,high,medium,low,unreadable,high_pct,medium_pct,low_pct,total_mb,avg_width,avg_height,extensions
日本隆背鳐,1,日本隆背鳐,2,0,2,0,0,0.0,100.0,0.0,1.41,2398,1080,.jpg:2
日本须鳎,1,日本须鳎,2,1,1,0,0,50.0,50.0,0.0,1.7,2682,2011.5,.jpg:2
日本魣,1,日本魣,2,0,2,0,0,0.0,100.0,0.0,1.31,1988,720,.jpg:2
日本鰧,1,日本鰧,2,0,2,0,0,0.0,100.0,0.0,1.57,1660,866,.jpg:2
"暗耳乌贼Inioteuthis japonica Verrill,",1,"暗耳乌贼Inioteuthis japonica Verrill,",2,0,2,0,0,0.0,100.0,0.0,1.13,1440,1192,.jpg:2
曲针乌贼,1,曲针乌贼,2,2,0,0,0,100.0,0.0,0.0,4.14,3024,4032,.jpg:2
月腹刺鲀,1,月腹刺鲀,2,2,0,0,0,100.0,0.0,0.0,20.26,8688,4888,.jpg:2
朗明灯鱼,1,朗明灯鱼,2,2,0,0,0,100.0,0.0,0.0,13.17,5472,3648,.jpg:2
条纹拟鲈,1,条纹拟鲈,2,2,0,0,0,100.0,0.0,0.0,1.5,2100,1575,.jpg:2
条纹裸胸鳝,1,条纹裸胸鳝,2,0,0,2,0,0.0,0.0,100.0,0.37,1088,438,.jpg:2
条纹躄鱼,1,条纹躄鱼,2,0,2,0,0,0.0,100.0,0.0,1.46,1416,1004,.jpg:2
树须鱼,1,树须鱼,2,1,0,1,0,50.0,0.0,50.0,2.05,1944,2172,.jpg:2
根氏珠目鱼,1,根氏珠目鱼,2,2,0,0,0,100.0,0.0,0.0,3.71,3072,4096,.jpg:2
棕斑盲鼬鳚,1,棕斑盲鼬鳚,2,0,2,0,0,0.0,100.0,0.0,1.54,2398,1080,.jpg:2
